Epoch: [1][390/1042]	 Time 0.354 (1.865)	 Data 0.000 (1.512)	 Loss 0.423 (0.402)	 EPE 2.669 (2.547)
Epoch: [1][400/1042]	 Time 2.797 (1.859)	 Data 2.460 (1.507)	 Loss 0.235 (0.401)	 EPE 1.493 (2.541)
Epoch: [1][410/1042]	 Time 0.350 (1.852)	 Data 0.000 (1.500)	 Loss 0.299 (0.399)	 EPE 1.958 (2.530)
Epoch: [1][420/1042]	 Time 0.349 (1.845)	 Data 0.000 (1.493)	 Loss 0.308 (0.397)	 EPE 1.862 (2.521)
Epoch: [1][430/1042]	 Time 0.348 (1.831)	 Data 0.000 (1.479)	 Loss 0.390 (0.397)	 EPE 2.438 (2.517)
Epoch: [1][440/1042]	 Time 5.209 (1.850)	 Data 4.846 (1.498)	 Loss 0.332 (0.395)	 EPE 2.058 (2.504)
Epoch: [1][450/1042]	 Time 0.355 (1.841)	 Data 0.000 (1.490)	 Loss 0.297 (0.394)	 EPE 1.761 (2.500)
Epoch: [1][460/1042]	 Time 0.358 (1.841)	 Data 0.000 (1.489)	 Loss 0.489 (0.394)	 EPE 3.284 (2.501)
Epoch: [1][470/1042]	 Time 0.352 (1.836)	 Data 0.000 (1.484)	 Loss 0.343 (0.393)	 EPE 2.290 (2.497)
Epoch: [1][480/1042]	 Time 2.908 (1.851)	 Data 2.567 (1.499)	 Loss 0.304 (0.392)	 EPE 1.815 (2.486)
Epoch: [1][490/1042]	 Time 0.354 (1.838)	 Data 0.000 (1.487)	 Loss 0.380 (0.390)	 EPE 2.396 (2.477)
Epoch: [1][500/1042]	 Time 0.353 (1.837)	 Data 0.000 (1.486)	 Loss 0.278 (0.389)	 EPE 1.814 (2.467)
Epoch: [1][510/1042]	 Time 0.351 (1.837)	 Data 0.000 (1.486)	 Loss 0.424 (0.388)	 EPE 2.840 (2.461)
Epoch: [1][520/1042]	 Time 5.268 (1.854)	 Data 4.937 (1.503)	 Loss 0.313 (0.387)	 EPE 1.961 (2.453)
Epoch: [1][530/1042]	 Time 0.353 (1.838)	 Data 0.000 (1.487)	 Loss 0.357 (0.386)	 EPE 2.496 (2.449)
Epoch: [1][540/1042]	 Time 0.361 (1.845)	 Data 0.000 (1.494)	 Loss 0.274 (0.385)	 EPE 1.667 (2.442)
Epoch: [1][550/1042]	 Time 0.366 (1.838)	 Data 0.000 (1.487)	 Loss 0.364 (0.384)	 EPE 2.283 (2.439)
Epoch: [1][560/1042]	 Time 0.350 (1.841)	 Data 0.000 (1.490)	 Loss 0.272 (0.384)	 EPE 1.740 (2.435)
Epoch: [1][570/1042]	 Time 9.952 (1.846)	 Data 9.592 (1.495)	 Loss 0.370 (0.383)	 EPE 2.395 (2.429)
Epoch: [1][580/1042]	 Time 0.357 (1.844)	 Data 0.000 (1.493)	 Loss 0.340 (0.382)	 EPE 2.203 (2.423)
Epoch: [1][590/1042]	 Time 0.360 (1.838)	 Data 0.000 (1.487)	 Loss 0.400 (0.381)	 EPE 2.595 (2.418)
Epoch: [1][600/1042]	 Time 0.356 (1.831)	 Data 0.000 (1.480)	 Loss 0.340 (0.381)	 EPE 2.192 (2.417)
Epoch: [1][610/1042]	 Time 3.387 (1.833)	 Data 3.056 (1.482)	 Loss 0.344 (0.381)	 EPE 2.119 (2.416)
